TITULO;;CPB_ROE;;PAIS_OBRA;;QTD_DIAS_EXIBICAO;;QTD_PUBLICO;;NOTA;;VOTOS;;QTD_DIRETOR_M;;QTD_DIRETOR_F;;DIRETOR_GENERO;;QTD_ROTERISTA_MQTD_ROTERISTA_FROTERISTA_GENERO
A AMANTE;;E1800184400000;;OUTROS;;71;;15666;;6,7;;1323;;1;;0;;M;;10M
A APARIÇÃO;;E1800243900000;;OUTROS;;64;;7259;;6,3;;1854;;1;;0;;M;;21M
A ARTE DE AMAR;;E1500651500000;;OUTROS;;14;;121;;6,1;;1857;;1;;0;;M;;10M
A ARTE URBANA;;B1900471700000;;BRASIL;;6;;51;;0;;0;;2;;0;;M;;10M
A AUTÓPSIA;;E1600788000000;;ESTADOS UNIDOS;;18;;213739;;6,8;;138335;;1;;0;;M;;20M
A BAILARINA;;E1600678400000;;OUTROS;;100;;550360;;6,7;;24311;;2;;0;;M;;21M
A BALADA DO PROVISÓRIO;;B1402098200000;;BRASIL;;14;;20;;5,5;;10;;1;;0;;M;;00M
A BALEIA;;E2300007400000;;ESTADOS UNIDOS;;101;;446799;;7,7;;209130;;1;;0;;M;;10M
A BATALHA DAS CORRENTES;;E1900289700000;;ESTADOS UNIDOS;;13;;21184;;6,5;;30852;;1;;0;;M;;10M
A BATALHA DO PASSINHO;;B1301805800000;;BRASIL;;1;;41;;7,6;;41;;1;;0;;M;;11M
À BEIRA MAR;;E1500720000000;;ESTADOS UNIDOS;;42;;27584;;5,3;;22529;;0;;1;;F;;01F
A BELA AMÉRICA;;B2300454300000;;OUTROS;;18;;323;;5,9;;29;;1;;0;;M;;20M
A BELA DA TARDE;;E1700492900000;;OUTROS;;81;;4549;;7,6;;48889;;1;;0;;M;;21M
A BELA DA TARDE;;E1700492900000;;OUTROS;;1;;14;;7,6;;48889;;1;;0;;M;;21M
A BELA E A FERA;;E1500449800000;;ESTADOS UNIDOS;;25;;14729;;8;;478769;;1;;1;;M;;86M
A BELA E A FERA;;E1600795300000;;ESTADOS UNIDOS;;140;;8257413;;0;;0;;0;;0;;M;;00M
A BELA E A FERA;;E1600795300000;;ESTADOS UNIDOS;;140;;8257413;;7,1;;333755;;1;;0;;M;;14F
A BRIGADA DA CHEF;;E2200449900000;;OUTROS;;26;;3675;;6,3;;1063;;0;;1;;F;;31M
A BRUTA FLOR DO QUERER;;B1500400500000;;BRASIL;;42;;2903;;5,5;;136;;1;;1;;M;;11M
A CABEÇA DE GUMERCINDO SARAIVA;;B1800469700000;;BRASIL;;75;;5158;;7,6;;59;;1;;0;;M;;10M
A CAÇA;;E1500255600000;;OUTROS;;44;;737;;4,3;;145;;1;;0;;M;;20M
A CASA DE CECÍLIA;;B1402159000000;;BRASIL;;14;;126;;6,1;;25;;0;;1;;F;;02F
A CASA DE VERANEIO;;E1900054600000;;OUTROS;;4;;100;;5,3;;623;;0;;1;;F;;04F
A CASA DE VERANEIO;;E1900054600000;;OUTROS;;40;;8001;;5,3;;623;;0;;1;;F;;04F
A CASA DOS PRAZERES;;E2300372700000;;OUTROS;;56;;5383;;5,7;;725;;0;;1;;F;;12F
A CASA ELÉTRICA;;B1301869200000;;BRASIL;;28;;321;;5,8;;30;;1;;0;;M;;00M
A CASA QUE JACK CONSTRUIU;;E1800305800000;;OUTROS;;68;;24826;;6,8;;91492;;1;;0;;M;;20M
A CHAMADA;;E2300240700000;;ESTADOS UNIDOS;;28;;40830;;5,3;;20043;;1;;0;;M;;20M
A CHANCE DE FAHIM;;E1900587200000;;OUTROS;;42;;8766;;6,8;;1797;;1;;0;;M;;51M
A CHANCE DE FAHIM;;E1900587200000;;OUTROS;;12;;39;;6,8;;1797;;1;;0;;M;;51M
A CHEGADA;;E1700028800000;;ESTADOS UNIDOS;;108;;581780;;7,9;;766868;;1;;0;;M;;11M
A CHORONA;;E2100306500000;;OUTROS;;8;;4128;;6,6;;7707;;1;;0;;M;;20M
A CIDADE DO FUTURO;;B1600756100000;;BRASIL;;69;;11786;;5,7;;151;;2;;0;;M;;10M
A CIDADE DOS ABISMOS;;B1900611200000;;BRASIL;;31;;936;;6,2;;28;;1;;1;;M;;01F
A CIDADE DOS PIRATAS;;B1800516900000;;BRASIL;;46;;2384;;6,9;;123;;1;;0;;M;;32M
A CIDADE É UMA SÓ?;;B1301852900000;;BRASIL;;11;;94;;7,4;;112;;4;;0;;M;;80M
A CIDADE ONDE ENVELHEÇO;;B1600181500000;;OUTROS;;106;;9320;;6,5;;440;;0;;1;;F;;12F
A CINCO PASSOS DE VOCÊ;;E1900025700000;;ESTADOS UNIDOS;;88;;1347574;;7,2;;82097;;1;;0;;M;;20M
A COLEÇÃO INVISÍVEL;;B1201666700000;;BRASIL;;52;;1317;;6,9;;178;;1;;0;;M;;21M
A COLINA ESCARLATE;;E1500485900000;;ESTADOS UNIDOS;;71;;266539;;6,5;;157960;;0;;1;;F;;11M
A COLMEIA;;B1900117400000;;BRASIL;;36;;781;;6,5;;12;;1;;0;;M;;10M
A COMÉDIA DIVINA;;B1600439300000;;BRASIL;;65;;46117;;4,7;;109;;0;;1;;F;;14F
A COMUNIDADE;;E1600279200000;;OUTROS;;85;;20310;;6,4;;8222;;1;;0;;M;;21M
A COR PÚRPURA;;E2300459900000;;ESTADOS UNIDOS;;21;;38453;;6,9;;13997;;1;;0;;M;;12F
A CORTE;;E1600279000000;;OUTROS;;58;;7005;;6,6;;2398;;1;;0;;M;;10M
A COSTUREIRA DE SONHOS;;E1800495000000;;OUTROS;;88;;21464;;7,7;;8509;;0;;1;;F;;01F
A CRIADA;;E1500841300000;;OUTROS;;46;;508;;7,3;;6445;;1;;0;;M;;20M
A CRIADA (2017);;E1600763400000;;OUTROS;;124;;39623;;8,1;;171673;;1;;0;;M;;21M
A CRIANÇA DA MEIA-NOITE;;E1500856400000;;OUTROS;;7;;70;;6;;260;;0;;1;;F;;01F
A CRIANÇA DO DIABO;;E2200122000000;;OUTROS;;7;;3554;;3,2;;369;;1;;0;;M;;10M
