TITULO;;CPB_ROE;;PAIS_OBRA;;QTD_DIAS_EXIBICAO;;QTD_PUBLICO;;NOTA;;VOTOS;;QTD_DIRETOR_M;;QTD_DIRETOR_F;;DIRETOR_GENERO;;QTD_ROTERISTA_MQTD_ROTERISTA_FROTERISTA_GENERO
BUSCANDO...;;E1800253000000;;ESTADOS UNIDOS;;66;;218013;;7,6;;179545;;1;;0;;M;;20M
BWAKAW;;E1600133300000;;OUTROS;;17;;273;;7,2;;367;;0;;1;;F;;01F
BYE BYE ALEMANHA;;E1700371000000;;OUTROS;;96;;14690;;6,5;;1755;;1;;0;;M;;20M
BYE BYE JAQUELINE;;B1600737300000;;BRASIL;;39;;616;;4,5;;28;;1;;0;;M;;10M
CABEÇA DE NÊGO;;B2000386800000;;BRASIL;;42;;2203;;7,5;;207;;1;;0;;M;;10M
CABRAS DA PESTE;;B1900468300000;;BRASIL;;7;;122;;6;;2009;;1;;0;;M;;20M
CABRITO;;B1900460400000;;BRASIL;;6;;27;;4,7;;331;;4;;0;;M;;40M
CAÇA IMPLACÁVEL;;E2200159000000;;ESTADOS UNIDOS;;21;;112759;;5,7;;29670;;1;;0;;M;;10M
CACAÇADORES DE EMOÇÃO - ALÉM DO LIMITE;;E1500781700000;;ESTADOS UNIDOS;;47;;420152;;5,3;;66008;;1;;0;;M;;21M
CAÇADA MORTAL;;E1500184300000;;ESTADOS UNIDOS;;109;;373853;;6,5;;127172;;1;;0;;M;;20M
CAÇADORES DE OBRAS-PRIMAS;;E1402436400000;;ESTADOS UNIDOS;;104;;533644;;6,1;;140721;;1;;0;;M;;31M
CACHORROS;;E1800224400000;;OUTROS;;69;;5107;;6,3;;468;;0;;1;;F;;01F
CADA UM NA SUA CASA;;E1500073800000;;ESTADOS UNIDOS;;202;;1790197;;8,4;;27;;0;;1;;F;;11M
CADA UM NA SUA CASA;;E1500073800000;;ESTADOS UNIDOS;;202;;1790197;;6,5;;111237;;0;;1;;F;;30M
CADA VEZ MAIS LONGE;;B1402296800000;;BRASIL;;24;;342;;6;;6;;1;;1;;M;;10M
CADÁVER;;E1800486200000;;ESTADOS UNIDOS;;70;;439110;;5,2;;25755;;1;;0;;M;;10M
CÃES DE GUERRA;;E1600478000000;;ESTADOS UNIDOS;;28;;160792;;7,1;;252736;;1;;0;;M;;31M
CÃES SELVAGENS;;E1700019300000;;ESTADOS UNIDOS;;47;;8336;;4,8;;9666;;1;;0;;M;;20M
CAFÉ - UM DEDO DE PROSA;;B1402701900000;;BRASIL;;14;;104;;0;;0;;1;;0;;M;;20M
CAFÉ COM CANELA;;B1700013000000;;BRASIL;;77;;10523;;7,2;;317;;0;;2;;F;;00M
CAKE UMA RAZÃO PARA VIVER;;E1500305300000;;ESTADOS UNIDOS;;58;;33153;;6,4;;38835;;1;;0;;M;;10M
CALA BOCA PHILIP;;E1500224000000;;ESTADOS UNIDOS;;57;;2735;;6,3;;6960;;1;;0;;M;;10M
CALLADO;;B1900390400000;;BRASIL;;31;;116;;0;;0;;0;;1;;F;;10M
CAMILLE CLAUDEL, 1915;;E1600102400000;;OUTROS;;64;;873;;6,5;;3924;;1;;0;;M;;21M
CAMINHO DO MAR;;B1700349900000;;BRASIL;;14;;1037;;7,9;;8;;1;;0;;M;;10M
CAMINHOS DA FLORESTA;;E1402545300000;;ESTADOS UNIDOS;;92;;341163;;5,9;;147799;;1;;0;;M;;11M
CAMINHOS DA MEMÓRIA;;E2100277000000;;ESTADOS UNIDOS;;21;;30496;;5,9;;65150;;0;;1;;F;;01F
CAMOCIM;;B1700606900000;;BRASIL;;54;;1627;;7,1;;37;;1;;0;;M;;30M
CAMPEÕES;;E2300084200000;;ESTADOS UNIDOS;;25;;5420;;6,8;;25552;;1;;0;;M;;30M
CAMPO;;E2000026200000;;OUTROS;;11;;39;;6,5;;51;;1;;0;;M;;00M
CAMPO DE JOGO;;B1402391100000;;BRASIL;;42;;1486;;6;;65;;1;;0;;M;;20M
CAMPO GRANDE;;B1500344800000;;BRASIL;;82;;4854;;6,6;;222;;0;;1;;F;;11M
CAMPUS SANTO;;B1700578900000;;BRASIL;;1;;48;;0;;0;;1;;0;;M;;20M
CANASTRA SUJA;;B1800073300000;;BRASIL;;55;;2071;;7,3;;319;;1;;0;;M;;10M
CANÇÃO AO LONGE;;B2200004100000;;BRASIL;;44;;1238;;7,1;;9;;0;;1;;F;;13F
CANO SERRADO;;B1800375900000;;BRASIL;;14;;1150;;6,1;;60;;1;;0;;M;;10M
CANTANDO NA CHUVA;;E1500332500000;;ESTADOS UNIDOS;;5;;347;;8,3;;259941;;2;;0;;M;;11M
CANTINFLAS -  A MAGIA DA COMÉDIA;;E1402390300000;;OUTROS;;21;;2342;;6,6;;4179;;1;;0;;M;;11M
CAPITÃ MARVEL;;E1900011200000;;ESTADOS UNIDOS;;172;;8993562;;6,8;;609050;;1;;1;;M;;32M
CAPITAL HUMANO;;E2000456600000;;ESTADOS UNIDOS;;7;;423;;5,7;;9469;;1;;0;;M;;20M
CAPITAL HUMANO;;E1402765300000;;OUTROS;;76;;10260;;7,2;;13410;;1;;0;;M;;40M
CAPITÃO AMÉRICA 2: O SOLDADO INVERNAL;;E1402820700000;;ESTADOS UNIDOS;;159;;4645415;;7,7;;896922;;1;;1;;M;;43M
CAPITÃO AMÉRICA: GUERRA CIVIL;;E1600129800000;;ESTADOS UNIDOS;;90;;9571700;;7,8;;847703;;1;;1;;M;;13F
CAPITÃO FANTÁSTICO;;E1600496400000;;ESTADOS UNIDOS;;117;;102103;;7,8;;234435;;1;;0;;M;;10M
CAPITAO PHILLIPS;;E1600145300000;;ESTADOS UNIDOS;;71;;37607;;7,8;;491382;;1;;0;;M;;30M
CAPITU E O CAPITULO;;B2300180300000;;BRASIL;;44;;4695;;6;;98;;1;;0;;M;;11M
CAPOEIRA, UM PASSO A DOIS;;B1500883200000;;BRASIL;;1;;347;;7,3;;9;;1;;0;;M;;11M
CARCEREIROS - O FILMES;;B1900511300000;;BRASIL;;39;;193717;;6;;174;;1;;0;;M;;32M
CARGA EXPLOSIVA: O LEGADO;;E1500628900000;;ESTADOS UNIDOS;;28;;202632;;5,2;;44741;;1;;0;;M;;31M
CARNÍVORAS;;E1800401800000;;OUTROS;;30;;1692;;5,3;;440;;2;;0;;M;;51M
CAROL;;E1500846300000;;OUTROS;;83;;144947;;7,3;;142070;;1;;0;;M;;02F
CAROL;;E1500846300000;;OUTROS;;2;;56;;7,3;;142070;;1;;0;;M;;02F
CARRIE A ESTRANHA;;E1500490800000;;ESTADOS UNIDOS;;65;;32028;;5,8;;147937;;0;;1;;F;;30M
CARRO REI;;B2100433800000;;BRASIL;;41;;1181;;5,4;;268;;0;;2;;F;;22M
CARROS;;E1500588000000;;ESTADOS UNIDOS;;5;;2248;;7,2;;467663;;2;;0;;M;;51M
CARROS 2;;E1500655800000;;ESTADOS UNIDOS;;21;;6972;;6,2;;216750;;1;;1;;M;;41M
CARROS 3;;E1700229800000;;ESTADOS UNIDOS;;95;;2513850;;6,7;;121107;;1;;0;;M;;61M
CARROSSEL - O FILME;;B1500453100000;;BRASIL;;192;;2563261;;5,3;;402;;2;;0;;M;;21M
CARROSSEL 2 - O SUMIÇO DE MARIA JOAQUINA;;B1600352700000;;BRASIL;;116;;2525487;;4,6;;271;;1;;0;;M;;11M
CARTA PARA ALÉM DOS MUROS;;B1900017500000;;BRASIL;;48;;3898;;8,3;;158;;4;;0;;M;;160M
CARTA REGISTRADA;;E1900546000000;;OUTROS;;4;;11;;5,9;;124;;0;;1;;F;;01F
CARTAS DA GUERRA;;E1600489000000;;OUTROS;;29;;3364;;6,7;;797;;1;;0;;M;;12F
CARTAS PARA UM LADRÃO DE LIVROS;;B1700560500000;;BRASIL;;16;;359;;8;;26;;2;;0;;M;;20M
CASA DE ANTIGUIDADES;;B2000429100000;;BRASIL;;46;;782;;5,8;;377;;0;;1;;F;;01F
CASA GUCCI;;E2100465100000;;ESTADOS UNIDOS;;134;;444590;;6,6;;159209;;1;;0;;M;;12F
CASA VAZIA;;B2200295300000;;BRASIL;;39;;878;;7,9;;8;;4;;0;;M;;40M
CASABLANCA;;E1500044300000;;ESTADOS UNIDOS;;4;;244;;8,5;;604658;;1;;0;;M;;42M
CASADENTRO;;E1500844300000;;OUTROS;;68;;1924;;5;;45;;0;;1;;F;;01F
CASAL IMPROVÁVEL;;E1900126800000;;ESTADOS UNIDOS;;70;;129743;;6,8;;121355;;1;;0;;M;;11M
CASAMENTO DE VERDADE;;E1600156400000;;ESTADOS UNIDOS;;43;;7061;;5,6;;11904;;0;;1;;F;;01F
CASAMENTO GREGO 2;;E1500735700000;;ESTADOS UNIDOS;;47;;370082;;6;;35476;;0;;1;;F;;01F
CASAMENTO GREGO 3;;E2300406900000;;ESTADOS UNIDOS;;32;;13444;;5,2;;8721;;0;;1;;F;;01F
CÁSSIA ELLER;;B1500018400000;;BRASIL;;185;;73317;;8,3;;359;;1;;0;;M;;10M
CASTANHA;;B1402141800000;;BRASIL;;122;;3196;;6,2;;108;;1;;0;;M;;10M
CATIVAS - PRESAS PELO CORAÇÃO;;B1402144900000;;BRASIL;;63;;1312;;6,5;;13;;0;;4;;F;;08F
CATS;;E1900437800000;;ESTADOS UNIDOS;;44;;68708;;2,8;;55811;;0;;1;;F;;13F
CAUBY - COMEÇARIA TUDO OUTRA VEZ;;B1402259600000;;BRASIL;;109;;7505;;6,9;;30;;1;;0;;M;;10M
CAVALO;;B2000130600000;;BRASIL;;38;;1339;;8;;19;;18;;0;;M;;180M
CAVERNA DOS SONHOS ESQUECIDOS;;E1600191600000;;OUTROS;;7;;831;;7,4;;17741;;1;;0;;M;;11M
CEDO DEMAIS;;B2300486200000;;BRASIL;;7;;366;;0;;0;;1;;0;;M;;31M
CEGONHAS - A HISTÓRIA QUE NÃO TE CONTARAM;;E1600405300000;;ESTADOS UNIDOS;;128;;1339498;;6,8;;67199;;1;;1;;M;;01F
CEMITÉRIO MALDITO;;E1900097700000;;ESTADOS UNIDOS;;45;;550915;;5,7;;98313;;2;;0;;M;;30M
CENTRAL DO BRASIL;;B0500310900000;;BRASIL;;7;;263;;8;;42184;;0;;1;;F;;21M
CÉSAR DEVE MORRER;;E1500725000000;;OUTROS;;18;;161;;7,3;;6805;;0;;2;;F;;12F
CÉU DE SUELY, O;;B0600587200000;;BRASIL;;3;;30;;7,1;;2091;;1;;0;;M;;31M
CHÁ COM AS DAMAS;;E1800554300000;;OUTROS;;57;;12433;;7,4;;2824;;1;;0;;M;;00M
CHACRINHA, EU VIM PARA CONFUNDIR NÃO PARA EXPLICAR;;B2000183900000;;BRASIL;;22;;133;;0;;0;;2;;0;;M;;00M
CHACRINHA, O VELHO GUERREIRO;;B1800482700000;;BRASIL;;49;;36195;;6,7;;408;;1;;0;;M;;12F
CHAMA A BEBEL;;B2300502400000;;BRASIL;;20;;8041;;7,7;;12;;1;;0;;M;;20M
CHAMAS DA VINGANÇA;;E2200127000000;;ESTADOS UNIDOS;;35;;31981;;4,6;;21875;;1;;0;;M;;20M
CHAPPIE;;E1500132700000;;ESTADOS UNIDOS;;88;;354667;;6,8;;268964;;1;;0;;M;;20M
CHARLOTE SP;;B1600306000000;;BRASIL;;18;;432;;7,3;;7;;1;;0;;M;;00M
CHATÔ - O REI DO BRASIL;;B1001208900000;;BRASIL;;123;;37675;;5,9;;750;;1;;0;;M;;31M
CHEF;;E1600230400000;;ESTADOS UNIDOS;;105;;110866;;7,3;;231097;;1;;0;;M;;10M
CHEGA DE FIU FIU;;B1800184900000;;BRASIL;;7;;1048;;7,3;;109;;1;;1;;M;;00M
CHICO - ARTISTA BRASILEIRO;;B1500777500000;;BRASIL;;155;;127013;;7,8;;427;;1;;0;;M;;11M
CHICO PARA SEMPRE;;B2200375000000;;BRASIL;;48;;8384;;8,6;;29;;1;;0;;M;;10M
CHINATOWN;;E1402593900000;;ESTADOS UNIDOS;;3;;2675;;8,1;;348885;;1;;0;;M;;20M
CHOCANTE;;B1700422600000;;BRASIL;;58;;156053;;5,6;;230;;2;;0;;M;;22M
CHORAR DE RIR;;B1800556100000;;BRASIL;;22;;82715;;6,2;;96;;0;;1;;F;;12F
CHRISTOPHER ROBIN - UM REENCONTRO INESQUECÍVEL;;E1800289800000;;ESTADOS UNIDOS;;69;;292386;;7,2;;84566;;1;;0;;M;;52M
CHURCHILL;;E1700408800000;;OUTROS;;63;;35762;;6;;15757;;0;;1;;F;;10M
CÍCERO DIAS , O COMPADRE DE PICASSO;;B1600529400000;;BRASIL;;23;;929;;7,3;;23;;1;;0;;M;;00M
CIDADÃO BOILESEN;;B0901061000000;;BRASIL;;7;;200;;8,1;;154;;1;;0;;M;;00M
CIDADÃO KANE;;E1402796700000;;ESTADOS UNIDOS;;1;;11;;8,3;;465055;;1;;0;;M;;41M
CIDADE CINZA;;B1301984500000;;BRASIL;;80;;3737;;7,1;;198;;2;;0;;M;;21M
CIDADE DE DEUS, 10 ANOS DEPOIS;;B1402144800000;;BRASIL;;78;;3639;;6,4;;1483;;2;;0;;M;;21M
CIDADE PERDIDA;;E2200099800000;;ESTADOS UNIDOS;;78;;492000;;6,1;;157360;;2;;0;;M;;50M
CIDADE RABAT;;E2300251100000;;OUTROS;;7;;29;;6,5;;33;;0;;1;;F;;01F
CIDADES DE PAPEL;;E1500387500000;;ESTADOS UNIDOS;;113;;1613598;;6,2;;107841;;1;;0;;M;;30M
CIDADES FANTASMAS;;B1700172000000;;BRASIL;;24;;1226;;7,7;;27;;4;;0;;M;;44M
CIGANOS DA CIAMBRA;;E1700467600000;;BRASIL;;57;;7710;;6,9;;2933;;1;;0;;M;;10M
CINCO GRAÇAS;;E1500735400000;;OUTROS;;132;;21311;;7,6;;40829;;0;;1;;F;;02F
CINCO VEZES CHICO O VELHO E SUA GENTE;;B1500723200000;;BRASIL;;35;;1151;;6,4;;13;;3;;2;;M;;02F
CINDERELA;;E1500085600000;;ESTADOS UNIDOS;;128;;4189732;;8,6;;14;;0;;1;;F;;20M
CINDERELA;;E1500085600000;;ESTADOS UNIDOS;;128;;4189732;;6,9;;190216;;1;;0;;M;;20M
CINDERELA E O PRÍNCIPE SECRETO;;E1800390000000;;ESTADOS UNIDOS;;47;;88063;;4,5;;794;;1;;1;;M;;32M
CINDERELA POP;;B1900048500000;;BRASIL;;60;;476786;;4,6;;1301;;1;;1;;M;;22M
CINE HOLLIÚDY;;B1201647900000;;BRASIL;;57;;2346;;6,9;;1231;;1;;0;;M;;10M
CINE HOLLIÚDY 2 - A CHIBATA SIDERAL;;B1800441300000;;BRASIL;;61;;169970;;6,1;;243;;1;;0;;M;;30M
CINE MARROCOS;;B1800607100000;;BRASIL;;36;;323;;7,9;;39;;1;;0;;M;;10M
CINE SÃO PAULO;;B1700435100000;;BRASIL;;3;;438;;8,3;;25;;2;;0;;M;;00M
CINEMA NOVO;;B1600640900000;;BRASIL;;75;;7188;;7,2;;437;;1;;0;;M;;20M
CINEMAGIA - A HISTÓRIA DAS VIDEOLOCADORAS DE SÃO PAULO;;B1700410600000;;BRASIL;;14;;222;;7,5;;226;;0;;1;;F;;01F
CINQUENTA TONS DE CINZA;;E1402627400000;;ESTADOS UNIDOS;;97;;6686240;;4,2;;335176;;0;;1;;F;;02F
CINQUENTA TONS MAIS ESCUROS;;E1500757600000;;ESTADOS UNIDOS;;65;;4597789;;4,6;;111169;;1;;0;;M;;02F
CIRCO VOADOR - A NAVE;;B1500743500000;;BRASIL;;28;;945;;0;;0;;1;;0;;M;;00M
CIRCULAR;;B1101504000000;;BRASIL;;21;;86;;6,5;;42;;18;;27;;F;;1827F
CÍRCULO DE FOGO: A REVOLTA;;E1800053500000;;ESTADOS UNIDOS;;64;;845743;;5,6;;126764;;1;;0;;M;;32M
CLARA SOLA;;E2200252500000;;OUTROS;;49;;2242;;6,7;;1588;;1;;0;;M;;11M
CLARICE LISPECTOR - A DESCOBERTA DO MUNDO;;B1700110100000;;BRASIL;;20;;5757;;7,1;;8;;0;;1;;F;;11M
CLARISSE OU ALGUMA COISA SOBRE NÓS DOIS;;B1600502400000;;BRASIL;;60;;3887;;5,6;;138;;1;;0;;M;;30M
CLASH;;E1700055000000;;OUTROS;;45;;5063;;7,4;;6173;;1;;0;;M;;20M
CLIFFORD - O GIGANTE CÃO VERMELHO;;E2100448400000;;OUTROS;;69;;191378;;5,9;;17006;;1;;0;;M;;33M
CLIMAS;;E1600589900000;;OUTROS;;15;;387;;7,1;;14237;;1;;0;;M;;10M
CLOSE;;E2200464700000;;OUTROS;;152;;56981;;7,8;;34100;;1;;0;;M;;20M
CLUBE DE COMPRAS DALLAS;;E1402441000000;;ESTADOS UNIDOS;;81;;126992;;7,9;;518148;;0;;1;;F;;11M
CLUBE DOS CINCO;;E1402609400000;;ESTADOS UNIDOS;;3;;3695;;7,8;;435225;;1;;0;;M;;10M
CODINOME CLEMENTE;;B1800458000000;;BRASIL;;18;;87;;0;;0;;1;;0;;M;;10M
COISAS DO AMOR;;E2200497800000;;OUTROS;;7;;318;;3,9;;451;;0;;1;;F;;01F
COLETTE;;E1800415000000;;ESTADOS UNIDOS;;19;;50569;;6,7;;26380;;1;;0;;M;;21M
COLHEITA AMARGA;;E1800068700000;;OUTROS;;29;;1903;;5,9;;4157;;1;;0;;M;;20M
COLO;;E1700484800000;;OUTROS;;40;;1348;;5,7;;390;;0;;4;;F;;04F
COLOSSAL;;E1700146300000;;OUTROS;;21;;4016;;6,2;;69002;;1;;0;;M;;10M
COLUMBUS;;E1700416800000;;ESTADOS UNIDOS;;71;;8555;;7,2;;20858;;0;;1;;F;;01F
COM AMOR E FÚRIA;;E2200345800000;;OUTROS;;74;;13293;;6,1;;3467;;0;;1;;F;;02F
COM AMOR, VAN GOGH;;E1700463500000;;ESTADOS UNIDOS;;135;;128861;;7,8;;63440;;2;;0;;M;;30M
COM OS PUNHOS CERRADOS;;B1402289000000;;BRASIL;;55;;635;;6,3;;29;;2;;1;;M;;00M
COMO AGRADAR UMA MULHER;;E2200457200000;;OUTROS;;19;;1174;;6,2;;1697;;1;;0;;M;;10M
COMO É  CRUEL VIVER ASSIM;;B1700468400000;;BRASIL;;89;;5181;;6;;127;;0;;1;;F;;10M
COMO EU ERA ANTES DE VOCÊ;;E1500875700000;;ESTADOS UNIDOS;;86;;4269966;;7,4;;285950;;1;;0;;M;;10M
COMO FOTOGRAFEI OS YANOMAMI;;B1800311900000;;BRASIL;;27;;345;;6,4;;10;;1;;0;;M;;11M
COMO NA CANÇÃO DOS BEATLES - NORWEGIAN WOOD;;E1500842100000;;OUTROS;;93;;4405;;6,3;;12435;;0;;1;;F;;11M
COMO NÃO PERDER ESSA MULHER;;E1500410800000;;ESTADOS UNIDOS;;30;;1051;;6,5;;246780;;1;;0;;M;;10M
COMO NOSSOS PAIS;;B1700119200000;;BRASIL;;110;;206905;;7,2;;2233;;4;;0;;M;;80M
COMO SE TORNAR O PIOR ALUNO DA ESCOLA;;B1700386500000;;BRASIL;;74;;506513;;5,4;;2086;;1;;0;;M;;21M
COMO SE TORNAR UM CONQUISTADOR;;E1700224100000;;ESTADOS UNIDOS;;19;;24657;;6;;17479;;1;;0;;M;;20M
COMO SOBREVIVER A UM ATAQUE ZUMBI;;E1500662700000;;ESTADOS UNIDOS;;69;;395116;;6,3;;54661;;0;;1;;F;;13F
COMO TREINAR O SEU DRAGÃO 3;;E1800532200000;;ESTADOS UNIDOS;;223;;3944408;;7,4;;149840;;1;;0;;M;;20M
COMO TREINAR SEU DRAGÃO 2;;E1500734400000;;ESTADOS UNIDOS;;205;;4715460;;7,8;;363033;;1;;0;;M;;20M
COMO VOCÊ É;;E1600721900000;;ESTADOS UNIDOS;;50;;3028;;6,5;;2823;;0;;1;;F;;11M
COMO VOCÊ ME VÊ?;;B1700416600000;;BRASIL;;22;;167;;9;;7;;1;;0;;M;;20M
CONCUSSION;;E1500720300000;;ESTADOS UNIDOS;;49;;67328;;7,1;;100451;;1;;0;;M;;11M
CONDADO MACABRO;;B1500399800000;;BRASIL;;19;;428;;5;;309;;2;;0;;M;;10M
CONEXÃO ESCOBAR;;E1600413600000;;ESTADOS UNIDOS;;34;;66860;;7;;78638;;1;;0;;M;;20M
CONEXÃO FRANCESA;;E1600054800000;;OUTROS;;43;;18650;;7,1;;12223;;1;;0;;M;;11M
CONFIA EM MIM;;B1301902700000;;BRASIL;;77;;43285;;6,4;;671;;1;;0;;M;;20M
CONQUISTAR, AMAR E VIVER INTENSAMENTE;;E1800494800000;;OUTROS;;60;;4132;;6,8;;4153;;1;;0;;M;;10M
CONQUISTAR, AMAR E VIVER INTENSAMENTE;;E1800494800000;;OUTROS;;15;;5915;;6,8;;4153;;1;;0;;M;;10M
CONSPIRAÇÃO E PODER;;E1600045600000;;OUTROS;;80;;51400;;6,8;;21206;;0;;1;;F;;02F
CONSTRUINDO PONTES;;B1700449500000;;BRASIL;;50;;2538;;6,2;;36;;0;;1;;F;;03F
CONTACTADO;;B2000151700000;;BRASIL;;16;;134;;6,1;;22;;0;;1;;F;;02F
CONTÁGIO ZERO;;E2200151000000;;OUTROS;;7;;105;;3,7;;526;;1;;0;;M;;30M
CONTATOS DE 4º GRAU;;E1600640400000;;ESTADOS UNIDOS;;1;;54;;5,9;;81695;;1;;0;;M;;20M
CONTOS DA NOITE;;E1600158900000;;OUTROS;;25;;399;;6,9;;1668;;1;;0;;M;;10M
CONTRATEMPOS;;E2200176100000;;OUTROS;;33;;1667;;7,4;;5180;;1;;0;;M;;10M
CONVENÇÃO DAS BRUXAS;;E2000396100000;;ESTADOS UNIDOS;;148;;358866;;5,4;;46414;;1;;0;;M;;22M
COPA DE ELITE;;B1402145700000;;BRASIL;;113;;647134;;4,1;;542;;1;;0;;M;;20M
COPACABANA;;E1600197600000;;OUTROS;;9;;96;;6,7;;1740;;1;;0;;M;;10M
CORA CORALINA - TODAS AS VIDAS;;B1500559900000;;BRASIL;;67;;6642;;8,1;;36;;1;;0;;M;;10M
CORAÇÃO DE CACHORRO;;E1600019300000;;OUTROS;;57;;1745;;7;;2545;;0;;1;;F;;01F
CORAÇÃO DE CACHORRO;;E1600019300000;;OUTROS;;11;;83;;7;;2545;;0;;1;;F;;01F
CORAÇÃO DO SAMBA;;B1101524900000;;BRASIL;;5;;12;;0;;0;;0;;1;;F;;01F
CORAÇÕES DE FERRO;;E1402627000000;;ESTADOS UNIDOS;;94;;437802;;7,6;;545312;;1;;0;;M;;10M
CORDIALMENTE TEUS;;B2200299300000;;BRASIL;;23;;426;;4,8;;22;;1;;0;;M;;10M
CORES;;B1301794500000;;BRASIL;;5;;20;;6;;76;;25;;0;;M;;500M
CORINGA;;E1900357300000;;OUTROS;;111;;9746331;;8,4;;1477550;;1;;0;;M;;41M
CORINGA;;E1900357300000;;OUTROS;;178;;15500;;8,4;;1477550;;1;;0;;M;;41M
CORPO DELITO;;B1700181500000;;BRASIL;;26;;1447;;6,3;;26;;1;;0;;M;;10M
CORPO ELÉTRICO;;B1700112000000;;BRASIL;;89;;19870;;6,1;;908;;1;;0;;M;;30M
CORPO PRESENTE;;B1201590900000;;BRASIL;;15;;54;;7,8;;18;;18;;0;;M;;279M
CORPOLÍTICA;;B2300052100000;;BRASIL;;39;;2185;;8,4;;21;;1;;0;;M;;10M
CORRA!;;E1700047300000;;ESTADOS UNIDOS;;141;;381966;;7,8;;692963;;1;;0;;M;;10M
CORRENDO ATRÁS DE UM PAI;;E1700599500000;;ESTADOS UNIDOS;;28;;100159;;5,5;;21251;;1;;0;;M;;10M
CORRENTE DO MAL;;E1500187800000;;ESTADOS UNIDOS;;21;;75586;;6,8;;267913;;1;;0;;M;;10M
CORSAGE;;E2200441300000;;OUTROS;;74;;10961;;6,6;;9609;;0;;1;;F;;01F
COVIL DE LADRÕES;;E1800015700000;;ESTADOS UNIDOS;;7;;57526;;7;;123246;;0;;1;;F;;02F
CRAVOS;;B1900005600000;;BRASIL;;15;;66;;7,2;;6;;1;;0;;M;;20M
CREED II;;E1800555200000;;ESTADOS UNIDOS;;65;;677239;;7,1;;155040;;1;;0;;M;;32M
CREED: NASCIDO PARA LUTAR;;E1500858100000;;ESTADOS UNIDOS;;52;;740538;;7,6;;310157;;1;;0;;M;;30M
CREPÚSCULO;;E1600635500000;;ESTADOS UNIDOS;;71;;77533;;5,3;;486504;;0;;1;;F;;02F
CRIATURAS DO SENHOR;;E2300007100000;;ESTADOS UNIDOS;;44;;3061;;6;;3298;;0;;2;;F;;20M
CRIME SEM SAÍDA;;E1900482200000;;ESTADOS UNIDOS;;16;;266085;;6,6;;74031;;1;;0;;M;;20M
CRIMES EM HAPPYTIME;;E1800305600000;;ESTADOS UNIDOS;;2;;738;;5,5;;30323;;1;;0;;M;;11M
CRIMES OBSCUROS;;E1800550300000;;ESTADOS UNIDOS;;21;;22378;;4,6;;19928;;1;;0;;M;;20M
CRIMES OCULTOS;;E1500245200000;;ESTADOS UNIDOS;;22;;18210;;6,4;;75666;;1;;0;;M;;20M
CRIMES OF THE FUTURE;;E2200238400000;;OUTROS;;84;;13803;;5,8;;40390;;1;;0;;M;;10M
CRÍTICO;;B0800963900000;;BRASIL;;25;;157;;7,3;;211;;1;;0;;M;;11M
CRÔ - O FILME;;B1302000200000;;BRASIL;;65;;77867;;3,6;;580;;1;;0;;M;;30M
CRÔ EM FAMILIA;;B1800340300000;;BRASIL;;109;;477369;;3,9;;108;;0;;1;;F;;51M
CROCODILOS - A MORTE TE ESPERA;;E2000553700000;;OUTROS;;14;;12120;;4,6;;6782;;0;;1;;F;;11M
CROMOSSOMO 21;;B1600754800000;;BRASIL;;47;;4736;;6;;6;;0;;0;;M;;00M
CRÔNICA DA DEMOLIÇÃO;;B1600058600000;;BRASIL;;82;;3509;;8;;44;;1;;0;;M;;20M
CRUELLA;;E2100154000000;;ESTADOS UNIDOS;;107;;707716;;7,3;;264767;;1;;0;;M;;33M
CRY MACHO: O CAMINHO PARA A REDENÇÃO;;E2100328400000;;ESTADOS UNIDOS;;49;;7949;;5,7;;32984;;1;;0;;M;;20M
CULPA;;E1800413200000;;OUTROS;;74;;45592;;7,5;;64237;;1;;0;;M;;20M
CUPCAKES;;E1402505700000;;OUTROS;;59;;1376;;6;;658;;1;;0;;M;;20M
CURRAIS;;B2000077200000;;BRASIL;;4;;118;;7;;8;;1;;1;;M;;11M
CURRAL;;B2100324700000;;BRASIL;;30;;926;;6,6;;146;;1;;0;;M;;11M
CURTAS JORNADAS NOITE ADENTRO;;B1900308000000;;BRASIL;;25;;462;;7,6;;14;;1;;0;;M;;10M
CURUPIRA O DEMÔNIO DA FLORESTA;;B2100367400000;;BRASIL;;11;;705;;4,6;;47;;1;;0;;M;;00M
CYRANO - MON AMOUR;;E1900233400000;;OUTROS;;49;;12334;;7,3;;3681;;1;;0;;M;;10M
D.U.F.F.;;E1500396700000;;ESTADOS UNIDOS;;7;;1523;;6,4;;101438;;1;;0;;M;;11M
DAMAS DO SAMBA;;B1500671700000;;BRASIL;;22;;706;;7,3;;22;;0;;9;;F;;90M
DANADO DE BOM;;B1700258100000;;BRASIL;;60;;2234;;8;;10;;0;;1;;F;;22M
DANÇANDO NO SILÊNCIO;;E2300024900000;;OUTROS;;69;;4626;;6,4;;395;;1;;0;;M;;10M
DANÇAS NEGRAS;;B1900072300000;;BRASIL;;19;;330;;0;;0;;2;;0;;M;;10M
DAPHNE;;E1800062700000;;OUTROS;;65;;3665;;6,1;;2174;;1;;0;;M;;01F
DAVID CONTRA OS BANCOS;;E2300351400000;;OUTROS;;30;;468;;7,1;;11856;;1;;0;;M;;10M
DE AMOR E TREVAS;;E1600249800000;;OUTROS;;93;;8148;;6;;4343;;0;;1;;F;;11M
